cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie
PESTOT,6276.0,TOTAL DES PESTICIDES ANALYSÉS,Total des pesticides analysés,,pesticides
ATRZ,1107.0,ATRAZINE,Atrazine,1912-24-9,pesticides
SMZ,1263.0,SIMAZINE,Simazine,122-34-9,pesticides
MTC,1221.0,MÉTOLACHLORE,Métolachlore,51218-45-2,pesticides
TBZ,1268.0,TERBUTHYLAZIN,Terbuthylazin,5915-41-3,pesticides
METZCL,1670.0,MÉTAZACHLORE,Métazachlore,67129-08-02,pesticides
MTBZ,1225.0,MÉTRIBUZINE,Métribuzine,21087-64-9,pesticides
MTMI,1215.0,MÉTAMITRONE,Métamitrone,41394-05-02,pesticides
ALCL,1101.0,ALACHLORE,Alachlore,15972-60-8,pesticides
TERBU,1269.0,TERBUTRYNE,Terbutryne,886-50-0,pesticides
DIU,1177.0,DIURON,Diuron,330-54-1,pesticides
CTOL,1136.0,CHLORTOLURON,Chlortoluron,15545-48-9,pesticides
HXZN,1673.0,HEXAZINONE,Hexazinone,51235-04-02,pesticides
ISP,1208.0,ISOPROTURON,Isoproturon,34123-59-6,pesticides
BTZ,1113.0,BENTAZONE,Bentazone,25057-89-0,pesticides
24D,1141.0,"2,4-D","2,4-D",94-75-7,pesticides
IMIDA,1877.0,IMIDACLOPRIDE,Imidaclopride,138261-41-3,pesticides
MCPA,1212.0,"2,4-MCPA","2,4-MCPA",94-74-6,pesticides
TERBM,1266.0,TERBUMÉTON,Terbuméton,33693-04-08,pesticides
IXB,1672.0,ISOXABEN,Isoxaben,82558-50-7,pesticides
ACETOCH,1903.0,ACÉTOCHLORE,Acétochlore,34256-82-1,pesticides
PDM,1234.0,PENDIMÉTHALINE,Pendiméthaline,40487-42-1,pesticides
FNP,1214.0,MÉCOPROP,Mécoprop,93-65-2,pesticides
PRPZ,1414.0,PROPYZAMIDE,Propyzamide,23950-58-5,pesticides
PROP,1256.0,PROPAZINE,Propazine,139-40-2,pesticides
DMTH,1678.0,DIMÉTHÉNAMIDE,Diméthénamide,87674-68-8,pesticides
TCPY,1288.0,TRICLOPYR,Triclopyr,55335-06-03,pesticides
DCP,1169.0,DICHLORPROP,Dichlorprop,120-36-5,pesticides
TBCZ,1694.0,TÉBUCONAZOLE,Tébuconazole,107534-96-3,pesticides
NICOSUL,1882.0,NICOSULFURON,Nicosulfuron,111991-09-4,pesticides
PCLR,1253.0,PROCHLORAZE,Prochloraze,67747-09-05,pesticides
CBDZ,1129.0,CARBENDAZIME,Carbendazime,10605-21-7,pesticides
ETFS,1184.0,ETHOFUMÉSATE,Ethofumésate,26225-79-6,pesticides
ODX,1666.0,OXADIXYL,Oxadixyl,77732-09-03,pesticides
METAL,1706.0,MÉTALAXYLE,Métalaxyle,57837-19-1,pesticides
SCT,1662.0,SULCOTRIONE,Sulcotrione,99105-77-8,pesticides
EPOXCZ,1744.0,EPOXYCONAZOLE,Epoxyconazole,133855-98-8,pesticides
CLDZ,1133.0,CHLORIDAZONE,Chloridazone,1698-60-8,pesticides
BRMCL,1686.0,BROMACIL,Bromacil,314-40-9,pesticides
PPCNZ,1257.0,PROPICONAZOLE,Propiconazole,60207-90-1,pesticides
DFF,1814.0,DIFLUFÉNICANIL,Diflufénicanil,83164-33-4,pesticides
CLOMAZO,2017.0,CLOMAZONE,Clomazone,81777-89-1,pesticides
PMC,1528.0,PYRIMICARBE,Pyrimicarbe,23103-98-2,pesticides
FPRO,1700.0,FENPROPIDIN,Fenpropidin,67306-00-7,pesticides
GPST,1506.0,GLYPHOSATE,Glyphosate,1071-83-6,pesticides
PRMTN,1432.0,PYRIMÉTHANIL,Pyriméthanil,53112-28-0,pesticides
ETDMR,1763.0,ETHIDIMURON,Ethidimuron,30043-49-3,pesticides
FLUTHI,1940.0,FLUFENACET,Flufenacet,142459-58-3,pesticides
CPCNZ,1680.0,CYPROCONAZOL,Cyproconazol,94361-06-05,pesticides
DMTM,1403.0,DIMÉTHOMORPHE,Diméthomorphe,110488-70-5,pesticides
DIMETAC,2546.0,DIMÉTACHLORE,Dimétachlore,50563-36-5,pesticides
METCONA,1879.0,METCONAZOL,Metconazol,125116-23-6,pesticides
DTERB,1176.0,DINOTERBE,Dinoterbe,1420-07-01,pesticides
AZOXYST,1951.0,AZOXYSTROBINE,Azoxystrobine,131860-33-8,pesticides
PMPA,1359.0,CYPRODINIL,Cyprodinil,121552-61-2,pesticides
PSFC,1092.0,PROSULFOCARBE,Prosulfocarbe,52888-80-9,pesticides
METACET,1796.0,MÉTALDÉHYDE,Métaldéhyde,108-62-3,pesticides
QUINMR,2087.0,QUIMERAC,Quimerac,90717-03-06,pesticides
FLUDIOX,2022.0,FLUDIOXONIL,Fludioxonil,131341-86-1,pesticides
IMETS,1797.0,METSULFURON MÉTHYL,Metsulfuron méthyl,74223-64-6,pesticides
LNCE,1406.0,LENACILE,Lenacile,01/08/2164,pesticides
CNPA,1688.0,ACLONIFEN,Aclonifen,74070-46-5,pesticides
FPPMP,1189.0,FENPROPIMORPHE,Fenpropimorphe,67564-91-4,pesticides
AMNTZ,1105.0,AMINOTRIAZOLE,Aminotriazole,61-82-5,pesticides
THISUME,1913.0,THIFENSULFURON MÉTHYL,Thifensulfuron méthyl,79277-27-3,pesticides
CYINE,1140.0,CYPERMÉTHRINE,Cyperméthrine,52315-07-08,pesticides
LNR,1209.0,LINURON,Linuron,330-55-2,pesticides
FPYR,1765.0,FLUROXYPIR,Fluroxypir,69377-81-7,pesticides
BOSCALI,5526.0,BOSCALID,Boscalid,188425-85-6,pesticides
ORZ,1668.0,ORYZALIN,Oryzalin,19044-88-3,pesticides
BRXY,1125.0,BROMOXYNIL,Bromoxynil,1689-84-5,pesticides
MESOSUL,2578.0,MÉSOSULFURON-MÉTHYL,Mésosulfuron-méthyl,208465-21-8,pesticides
TAM,1661.0,TÉBUTAM,Tébutam,35256-85-0,pesticides
DCAMB,1480.0,DICAMBA,Dicamba,1918-00-9,pesticides
FNUR,1500.0,FÉNURON,Fénuron,101-42-8,pesticides
MESOTRI,2076.0,MÉSOTRIONE,Mésotrione,104206-82-8,pesticides
OXDZ,1667.0,OXADIAZON,Oxadiazon,19666-30-9,pesticides
NAPR,1519.0,NAPROPAMIDE,Napropamide,15299-99-7,pesticides
AMIDOSU,2012.0,AMIDOSULFURON,Amidosulfuron,120923-37-7,pesticides
TCNZ,1660.0,TÉTRACONAZOLE,Tétraconazole,112281-77-3,pesticides
SPIROX,2664.0,SPIROXAMINE,Spiroxamine,118134-30-8,pesticides
FLURTAM,2008.0,FLURTAMONE,Flurtamone,96525-23-4,pesticides
PPBTX,1709.0,PIPERONIL BUTOXIDE,Piperonil butoxide,51-03-6,pesticides
THBZ,1713.0,THIABENDAZOLE,Thiabendazole,148-79-8,pesticides
IODOSU,6483.0,IODOSULFURON-METHYL-SODIUM,Iodosulfuron-methyl-sodium,144550-36-7,pesticides
HCHG,1203.0,HCH GAMMA (LINDANE),HCH gamma (lindane),58-89-9,pesticides
DIFENOC,1905.0,DIFÉNOCONAZOLE,Difénoconazole,119446-68-3,pesticides
ALDR,1103.0,ALDRINE,Aldrine,309-00-2,pesticides
NFZ,1669.0,NORFLURAZON,Norflurazon,27314-13-2,pesticides
IMAMOX,2986.0,IMAZAMOX,Imazamox,114311-32-9,pesticides
HCHB,1201.0,HCH BÉTA,HCH béta,319-85-7,pesticides
AMTH,1104.0,AMÉTHRYNE,Améthryne,0834-12-8,pesticides
BENOXA,2074.0,BENOXACOR,Benoxacor,98730-04-02,pesticides
